"es.id","study.id","ma.id","ma.doi","topic","additional_topic","g","d","sign.dir","N","n1","n2","es.type","comments","Year","Status","Experiment"
"3617","12276","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.27065043999999999","NA","pos","35",NA,NA,"g","NA","2015","P","Y"
"3618","12277","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.27153588000000001","NA","pos","35",NA,NA,"g","NA","2015","P","Y"
"3619","12278","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.62937684000000005","NA","pos","26",NA,NA,"g","NA","2013","P","Y"
"3620","12279","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.62390400000000001","NA","pos","26",NA,NA,"g","NA","2013","P","Y"
"3621","12280","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.86706242","NA","pos","46",NA,NA,"g","NA","2018","P","Y"
"3622","12281","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.86706242","NA","pos","46",NA,NA,"g","NA","2018","P","Y"
"3623","12282","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.22965014","NA","pos","83",NA,NA,"g","NA","2016","P","Y"
"3624","12283","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.22965014","NA","pos","83",NA,NA,"g","NA","2016","P","Y"
"3625","12284","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.62566098000000003","NA","pos","38",NA,NA,"g","NA","2008","P","Y"
"3626","12285","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.62566098000000003","NA","pos","38",NA,NA,"g","NA","2008","P","Y"
"3627","12286","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.24593029999999999","NA","pos","51",NA,NA,"g","NA","2016","P","Y"
"3628","12287","2201g","10.1177/0146167219900418","Prosocial Behaviors Altruism","Methods","0.24593029999999999","NA","pos","51",NA,NA,"g","NA","2016","P","Y"
